Karst Landscape Evolution and Speleogenesis

KarstModel.inputdata() is over.

KarstModel.generate_fracture() is over

KarstModel.ConnectedFracture() is over

用时(s): 2

 numit original   2  qqbudget original 1.04341e-16
  numitouter  1   wettest01   0   wettest02  49
 layernodei   49
 numit01   2 errmax01  7.11748e-13  qqbudget01  1.11022e-16
 numit01   2 errmax01  7.57668e-13  qqbudget01  -2.77556e-17
 numit01   2 errmax01  6.49699e-13  qqbudget01  -2.77556e-17
 numit01   2 errmax01  8.78224e-13  qqbudget01  1.38778e-16
 numit01   2 errmax01  1.41689e-13  qqbudget01  -1.94289e-16
 numit01   2 errmax01  3.07951e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  2.82578e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  4.68733e-12  qqbudget01  1.38778e-16
 numit01   2 errmax01  1.85289e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.19453e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.76304e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.54269e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  5.8411e-13  qqbudget01  -1.11022e-16
 numit01   2 errmax01  1.43748e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.75781e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  2.32125e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.8712e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.60045e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  3.58028e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  7.38703e-13  qqbudget01  8.32667e-17
 numit01   2 errmax01  3.84169e-12  qqbudget01  1.38778e-16
 numit01   2 errmax01  7.56736e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  9.97517e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  2.416e-13  qqbudget01  0
 numit01   2 errmax01  1.22326e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  3.45075e-13  qqbudget01  8.32667e-17
 numit01   2 errmax01  8.01039e-13  qqbudget01  -2.77556e-17
 numit01   2 errmax01  3.40724e-13  qqbudget01  -2.22045e-16
 numit01   2 errmax01  2.59914e-13  qqbudget01  8.32667e-17
 numit01   2 errmax01  6.54587e-13  qqbudget01  -1.11022e-16
 numit01   2 errmax01  9.99403e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  6.38554e-13  qqbudget01  2.77556e-17
 numit01   2 errmax01  3.90157e-13  qqbudget01  -2.22045e-16
 numit01   2 errmax01  5.87593e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  4.1069e-13  qqbudget01  8.32667e-17
 numit01   2 errmax01  1.39733e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.11614e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  1.25908e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  6.55168e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.13047e-11  qqbudget01  1.66533e-16
 numit01   2 errmax01  1.76235e-13  qqbudget01  8.32667e-17
